,Date_Time,Open,High,Low,Close
0,2017-07-17 09:14:00,24011.4,24014.4,23914.4,23977.3
1,2017-07-17 09:59:00,23976.6,24003.2,23952.05,23988.85
2,2017-07-17 10:44:00,23988.95,24021.8,23967.75,23979.65
3,2017-07-17 11:29:00,23980.35,23990.6,23964.9,23976.0
4,2017-07-17 12:14:00,23975.15,23997.4,23963.75,23988.55
5,2017-07-17 12:59:00,23988.9,24006.35,23981.2,23991.5
6,2017-07-17 13:44:00,23991.75,24022.25,23965.5,24005.5
7,2017-07-17 14:29:00,24004.25,24064.7,23992.85,24002.05
8,2017-07-17 15:14:00,24002.95,24039.45,23992.35,24015.7
9,2017-07-18 09:14:00,23958.15,24099.65,23958.15,24085.4
10,2017-07-18 09:59:00,24090.2,24124.4,24085.25,24090.2
11,2017-07-18 10:44:00,24091.95,24093.05,24037.8,24058.85
12,2017-07-18 11:29:00,24069.8,24102.05,24068.7,24084.45
13,2017-07-18 12:14:00,24085.7,24102.55,24078.25,24082.9
14,2017-07-18 12:59:00,24081.2,24107.75,24059.45,24081.05
15,2017-07-18 13:44:00,24072.35,24143.75,24072.35,24121.25
16,2017-07-18 14:29:00,24125.85,24127.4,24008.5,24016.4
17,2017-07-18 15:14:00,24027.3,24027.3,24009.3,24012.05
18,2017-07-19 09:14:00,24069.2,24136.05,24069.2,24135.25
19,2017-07-19 09:59:00,24128.6,24141.85,24105.95,24135.1
20,2017-07-19 10:44:00,24134.6,24137.35,24113.6,24131.1
21,2017-07-19 11:29:00,24130.4,24157.35,24126.85,24143.5
22,2017-07-19 12:14:00,24143.45,24167.85,24135.8,24137.4
23,2017-07-19 12:59:00,24138.85,24152.0,24132.9,24145.25
24,2017-07-19 13:44:00,24138.65,24163.25,24105.3,24147.0
25,2017-07-19 14:29:00,24150.5,24175.8,24146.05,24149.35
26,2017-07-19 15:14:00,24142.55,24162.55,24142.55,24160.6
27,2017-07-20 09:14:00,24170.65,24239.5,24170.65,24220.5
28,2017-07-20 09:59:00,24221.15,24241.75,24193.25,24241.75
29,2017-07-20 10:44:00,24238.05,24294.8,24232.8,24262.9
30,2017-07-20 11:29:00,24254.3,24267.75,24234.95,24236.05
31,2017-07-20 12:14:00,24235.75,24235.75,24181.5,24197.9
32,2017-07-20 12:59:00,24201.2,24251.65,24201.2,24228.9
33,2017-07-20 13:44:00,24235.3,24244.5,24184.85,24208.15
34,2017-07-20 14:29:00,24207.2,24246.85,24186.95,24205.65
35,2017-07-20 15:14:00,24197.35,24233.9,24197.35,24222.45
36,2017-07-21 09:14:00,24231.4,24231.4,24155.2,24224.2
37,2017-07-21 09:59:00,24232.2,24250.95,24213.95,24217.75
38,2017-07-21 10:44:00,24219.6,24244.25,24219.6,24230.85
39,2017-07-21 11:29:00,24234.4,24234.4,24189.95,24200.25
40,2017-07-21 12:14:00,24203.95,24203.95,24145.25,24145.25
41,2017-07-21 12:59:00,24151.65,24179.7,24074.3,24153.15
42,2017-07-21 13:44:00,24161.7,24225.65,24134.65,24205.05
43,2017-07-21 14:29:00,24219.95,24261.15,24200.5,24257.15
44,2017-07-21 15:14:00,24258.15,24282.0,24258.15,24280.65
45,2017-07-24 09:14:00,24307.7,24379.4,24240.6,24374.1
46,2017-07-24 09:59:00,24370.2,24410.15,24360.1,24393.65
47,2017-07-24 10:44:00,24397.85,24410.05,24383.5,24383.5
48,2017-07-24 11:29:00,24378.95,24402.65,24370.4,24382.65
49,2017-07-24 12:14:00,24366.45,24446.4,24348.2,24419.95
50,2017-07-24 12:59:00,24406.8,24424.25,24392.75,24394.4
51,2017-07-24 13:44:00,24397.85,24448.75,24394.9,24442.7
52,2017-07-24 14:29:00,24437.9,24454.85,24381.25,24412.1
53,2017-07-24 15:14:00,24421.4,24438.35,24411.05,24422.7
