Date_Time,Open,High,Low,Close
2017-07-17 09:14:00,24011.4,24064.7,23914.4,24015.7
2017-07-18 09:14:00,23958.15,24143.75,23958.15,24012.05
2017-07-19 09:14:00,24069.2,24175.8,24069.2,24160.6
2017-07-20 09:14:00,24170.65,24294.8,24170.65,24222.45
2017-07-21 09:14:00,24231.4,24282.0,24074.3,24280.65
2017-07-24 09:14:00,24307.7,24454.85,24240.6,24422.7
2017-07-25 09:14:00,24622.9,24622.9,24471.35,24515.8
2017-07-26 09:14:00,24578.15,24711.3,24492.6,24680.1
2017-07-27 09:14:00,24857.5,25025.9,24828.75,24913.75
2017-07-28 09:14:00,24744.55,24853.6,24659.55,24806.9
2017-07-31 09:14:00,24880.6,25114.3,24846.55,25091.55
2017-08-01 09:14:00,25152.85,25171.1,25005.6,25151.85
2017-08-02 09:14:00,25190.4,25190.4,24949.3,24956.45
2017-08-03 09:14:00,25002.85,25002.85,24630.15,24642.35
2017-08-04 09:14:00,24629.5,24875.6,24599.15,24823.95
2017-08-07 09:14:00,24854.15,24974.05,24854.15,24897.4
2017-08-08 09:14:00,24942.2,24953.05,24538.85,24598.55
2017-08-09 09:14:00,24519.25,24530.8,24335.6,24356.85
2017-08-10 09:14:00,24300.45,24313.75,24103.6,24276.7
2017-08-11 09:14:00,23958.25,24189.55,23885.35,23977.7
2017-08-14 09:14:00,24051.05,24207.1,24051.05,24100.8
2017-08-16 09:14:00,24188.75,24457.0,23953.8,24447.85
2017-08-17 09:14:00,24495.2,24495.2,24143.8,24258.0
2017-08-18 09:14:00,24125.3,24125.3,23936.95,24072.7
2017-08-21 09:14:00,24140.55,24258.55,23882.45,23926.25
2017-08-22 09:14:00,24080.6,24127.45,23854.6,24006.8
2017-08-23 09:14:00,24084.95,24349.15,24079.7,24285.9
2017-08-24 09:14:00,24374.75,24411.0,24224.85,24320.5
2017-08-28 09:14:00,24351.25,24421.75,24301.4,24367.25
2017-08-29 09:14:00,24302.0,24312.55,24105.75,24119.6
2017-08-30 09:14:00,24253.05,24384.05,24250.5,24321.6
2017-08-31 09:14:00,24354.35,24354.35,24207.75,24301.35
2017-09-01 09:14:00,24389.2,24494.15,24319.2,24406.3
2017-09-04 09:14:00,24456.3,24456.3,24156.55,24214.85
2017-09-05 09:14:00,24272.6,24387.6,24256.3,24308.35
2017-09-06 09:14:00,24192.4,24329.8,24151.9,24290.15
2017-09-07 09:14:00,24324.85,24412.15,24248.15,24290.0
2017-09-08 09:14:00,24409.5,24417.65,24276.9,24355.5
2017-09-11 09:14:00,24468.5,24734.6,24458.85,24671.6
2017-09-12 09:14:00,24779.15,24821.35,24654.5,24794.2
2017-09-13 09:14:00,24818.35,24948.3,24739.5,24831.55
2017-09-14 09:14:00,24857.25,24993.1,24820.0,24921.65
2017-09-15 09:14:00,24840.3,24915.45,24791.7,24844.45
2017-09-18 09:14:00,24948.15,25104.9,24948.15,25039.2
2017-09-19 09:14:00,25059.75,25103.2,24993.3,25024.05
