Date_Time,Open,High,Low,Close
2017-07-17 09:14:00,24011.4,24014.4,23954.05,23982.9
2017-07-17 09:24:00,23983.55,23995.2,23952.2,23954.9
2017-07-17 09:34:00,23954.15,23963.4,23919.65,23924.5
2017-07-17 09:44:00,23923.2,23979.2,23914.4,23977.5
2017-07-17 09:54:00,23979.2,23986.55,23952.05,23959.25
2017-07-17 10:04:00,23958.6,23982.45,23956.35,23969.25
2017-07-17 10:14:00,23969.35,23987.4,23964.05,23979.3
2017-07-17 10:24:00,23981.8,24000.1,23977.3,23989.6
2017-07-17 10:34:00,23989.15,24003.2,23984.4,23988.85
2017-07-17 10:44:00,23988.95,24014.55,23988.95,24009.75
2017-07-17 10:54:00,24008.4,24021.8,24003.55,24008.7
2017-07-17 11:04:00,24010.2,24011.5,23993.4,23995.5
2017-07-17 11:14:00,23995.6,24000.65,23985.45,23990.65
2017-07-17 11:24:00,23990.55,23998.75,23967.75,23972.55
2017-07-17 11:34:00,23973.3,23982.0,23964.9,23979.85
2017-07-17 11:44:00,23979.7,23987.95,23974.3,23982.9
2017-07-17 11:54:00,23983.0,23990.6,23979.25,23985.3
2017-07-17 12:04:00,23985.4,23990.0,23972.4,23976.0
2017-07-17 12:14:00,23975.15,23984.5,23963.75,23981.1
2017-07-17 12:24:00,23978.9,23996.65,23970.85,23989.15
2017-07-17 12:34:00,23989.15,23997.4,23978.8,23985.65
2017-07-17 12:44:00,23986.85,23991.0,23976.0,23980.75
2017-07-17 12:54:00,23980.75,24003.65,23976.85,23998.7
2017-07-17 13:04:00,23998.25,24003.45,23981.2,23989.7
2017-07-17 13:14:00,23991.05,23994.5,23981.4,23985.25
2017-07-17 13:24:00,23985.25,24000.45,23982.05,23998.9
2017-07-17 13:34:00,23998.9,24006.35,23989.0,23991.5
2017-07-17 13:44:00,23991.75,24002.25,23982.95,24000.75
2017-07-17 13:54:00,24001.7,24007.1,23965.5,23982.8
2017-07-17 14:04:00,23983.25,23996.0,23975.8,23985.55
